MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Coal,EJ/yr,122.9797767,148.4067591,,115.7283855,,52.49097046,,51.4036416,,28.71032643,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Fossil,EJ/yr,392.1266558,445.0748022,,401.9503748,,385.1775447,,382.7174232,,347.4859041,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Gas,EJ/yr,101.3201122,109.9150475,,130.4180419,,173.772307,,196.0225387,,203.8548068,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Geothermal,EJ/yr,0.208427587,0.288510369,,0.444136926,,0.639453172,,1.128281138,,1.617429217,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Hydro,EJ/yr,10.4465517,11.81583703,,13.65963794,,16.76210889,,16.78216085,,17.20257383,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Non-Biomass Renewables,EJ/yr,11.19332414,12.68393704,,18.45383402,,45.01478026,,64.01210672,,96.7269535,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Nuclear,EJ/yr,9.955600448,10.1865474,,12.60655157,,14.9678831,,15.75383865,,16.03746525,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Ocean,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Oil,EJ/yr,167.8267668,186.7529956,,155.8039473,,158.9142672,,135.2912428,,114.9207708,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Solar,EJ/yr,0.175372995,0.180433663,,0.091944908,,1.057203864,,6.172490728,,42.72465762,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Wind,EJ/yr,0.362971856,0.399155979,,4.25811424,,26.55601434,,39.929174,,35.18229283,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity,EJ/yr,61.7098616,69.64298836,,78.88806711,,97.68485945,,121.4974957,,152.6877103,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Biomass,EJ/yr,0.764314681,0.844478807,,0.173295827,,0.065274293,,2.46599758,,12.22324541,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Coal,EJ/yr,24.31214417,28.43009548,,26.53790571,,4.947828526,,5.288723543,,0.118161166,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Gas,EJ/yr,12.36669775,13.89841017,,22.02532188,,33.76945082,,35.10265964,,28.72194329,,,,,,,,,,
