MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Oil,EJ/yr,3.895107674,4.432767162,,0.075524913,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr,3.895107674,4.432767162,,0.075524913,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Solar,EJ/yr,0.015789581,0.012262176,,0.007346564,,0.015199741,,3.987378666,,5.269515461,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Wind,EJ/yr,0.362971856,0.370697848,,0.850215395,,14.50476962,,18.74312511,,21.54579364,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Gases,EJ/yr,99.61500904,108.1256008,,135.4123019,,189.3446362,,231.1413771,,245.1072195,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Heat|Geothermal,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Hydrogen,EJ/yr,0,0,,0,,0,,11.74152773,,44.02371639,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Liquids,EJ/yr,162.2508556,180.6362362,,152.0073893,,157.6808503,,143.0802271,,87.07176177,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Liquids|Biomass,EJ/yr,0.762295559,0.876163638,,0.885484682,,3.208905157,,10.63611142,,0.550362006,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Liquids|Coal,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Liquids|Fossil,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
