MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Nuclear,EJ/yr,,,,,,9.8558,,,,,11.0405,,,,,,,,,,12.8652,,,,,,,,,,19.4235,,,,,,,,,,22.4627,,,,,,,,,,21.2993,,,,,,,,,,23.9309,,,,,,,,,,24.9326,,,,,,,,,,24.6005,,,,,,,,,,22.2826,,,,,,,,,,20.0009
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Oil,EJ/yr,,,,,,4.1715,,,,,4.8877,,,,,,,,,,6.3664,,,,,,,,,,6.1487,,,,,,,,,,4.0496,,,,,,,,,,3.8519,,,,,,,,,,2.6457,,,,,,,,,,2.113,,,,,,,,,,1.699,,,,,,,,,,1.7041,,,,,,,,,,1.4899
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Solar,EJ/yr,,,,,,0.0102,,,,,0.1673,,,,,,,,,,0.8885,,,,,,,,,,14.6959,,,,,,,,,,37.3203,,,,,,,,,,61.8599,,,,,,,,,,76.9727,,,,,,,,,,84.562,,,,,,,,,,89.7462,,,,,,,,,,90.5736,,,,,,,,,,90.0283
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Wind,EJ/yr,,,,,,0.3677,,,,,0.7554,,,,,,,,,,4.365,,,,,,,,,,38.3309,,,,,,,,,,80.4585,,,,,,,,,,107.0239,,,,,,,,,,124.7278,,,,,,,,,,128.7446,,,,,,,,,,127.737,,,,,,,,,,123.2804,,,,,,,,,,119.8764
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Gases,EJ/yr,,,,,,54.8167,,,,,53.9409,,,,,,,,,,54.9186,,,,,,,,,,32.074,,,,,,,,,,19.0672,,,,,,,,,,10.8786,,,,,,,,,,5.152,,,,,,,,,,3.3026,,,,,,,,,,2.2051,,,,,,,,,,1.8982,,,,,,,,,,1.4267
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Heat,EJ/yr,,,,,,13.2781,,,,,15.2668,,,,,,,,,,19.588,,,,,,,,,,13.991,,,,,,,,,,9.7212,,,,,,,,,,9.3041,,,,,,,,,,6.948,,,,,,,,,,6.1858,,,,,,,,,,5.6569,,,,,,,,,,5.7441,,,,,,,,,,5.4853
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Liquids,EJ/yr,,,,,,154.7828,,,,,159.7033,,,,,,,,,,173.632,,,,,,,,,,145.6944,,,,,,,,,,117.6186,,,,,,,,,,94.1591,,,,,,,,,,65.7207,,,,,,,,,,54.7666,,,,,,,,,,48.3166,,,,,,,,,,47.3306,,,,,,,,,,44.7142
AIM/CGE 2.0,SSP1-26,World,Emissions|CO2,Mt CO2/yr,,,,,,34373.9345,,,,,35781.8143,,,,,,,,,,37181.3385,,,,,,,,,,29790.5086,,,,,,,,,,19431.3522,,,,,,,,,,13678.9516,,,,,,,,,,8677.2115,,,,,,,,,,4100.1163,,,,,,,,,,2083.2195,,,,,,,,,,626.9675,,,,,,,,,,17.7377
AIM/CGE 2.0,SSP1-26,World,Final Energy,EJ/yr,,,,,,334.1608,,,,,342.3496,,,,,,,,,,365.9952,,,,,,,,,,371.5204,,,,,,,,,,371.2381,,,,,,,,,,384.7633,,,,,,,,,,380.3544,,,,,,,,,,365.9448,,,,,,,,,,354.5047,,,,,,,,,,340.2928,,,,,,,,,,326.1978
AIM/CGE 2.0,SSP1-26,World,Population,million,,,,,,6490.9879,,,,,6879.5896,,,,,,,,,,7529.2273,,,,,,,,,,8010.6224,,,,,,,,,,8332.3655,,,,,,,,,,8469.1883,,,,,,,,,,8426.4663,,,,,,,,,,8229.2513,,,,,,,,,,7894.6378,,,,,,,,,,7435.4936,,,,,,,,,,6881.5846
